program,clippy_warnings,clippy_errors,unsafe_fraction
s761899322.c,3,0,0.8769771528998243
s311954657.c,3,0,0.8769771528998243
s624416857.c,3,0,0.8769771528998243
s324963220.c,3,0,0.8769771528998243
s961979487.c,3,0,0.8780487804878049
s736168276.c,3,0,0.900990099009901
s677913832.c,3,0,0.8736462093862816
s507383035.c,3,0,0.8724954462659381
s865825374.c,5,0,0.8580121703853956
s595043073.c,5,0,0.8761061946902655
s109973853.c,2,0,0.829683698296837
s279603461.c,2,0,0.829683698296837
s575365076.c,2,0,0.8241206030150754
s785179373.c,2,0,0.8167539267015707
s797928929.c,7,0,0.7535211267605634
s203714034.c,7,0,0.7543859649122807
s866334754.c,7,0,0.7982708933717579
s107891584.c,5,0,0.7734627831715211
s928861682.c,2,0,0.8071625344352618
s127651425.c,4,0,0.8638132295719845
s485171693.c,6,0,0.8223350253807107
s039505497.c,2,0,0.77491961414791
s997347996.c,2,0,0.7741935483870968
s784039142.c,5,0,0.7610921501706485
s930747174.c,6,0,0.7988505747126436
s627713376.c,3,0,0.7407407407407407
s910447231.c,3,0,0.828009828009828
s189709434.c,1,0,0.8341232227488151
s246854091.c,2,0,0.7859327217125383
s955232628.c,2,0,0.779874213836478
s732370584.c,1,0,0.8108108108108109
s695270122.c,2,0,0.7378277153558053
s720139214.c,5,0,0.7971014492753623
s013553662.c,4,0,0.7643097643097643
s334361484.c,5,0,0.7770700636942676
s016316053.c,2,0,0.7071129707112971
s911859515.c,2,0,0.7071129707112971
s416369799.c,2,0,0.7071129707112971
s021988116.c,2,0,0.7071129707112971
s782157214.c,4,0,0.7928994082840237
s769202577.c,2,0,0.7071129707112971
s766716944.c,2,0,0.8568507157464212
s352639213.c,2,0,0.8568507157464212
s237065887.c,2,0,0.7543859649122807
s603772550.c,5,0,0.7577854671280276
s372799262.c,3,0,0.7832817337461301
s092574033.c,2,1,0.7222222222222222
s476893776.c,5,0,0.7682119205298014
s703625778.c,4,0,0.7388059701492538
s882774581.c,5,0,0.7682119205298014
s168234488.c,5,0,0.7577854671280276
s951394557.c,1,0,0.8325358851674641
s670844757.c,5,0,0.7682119205298014
s159275605.c,1,0,0.8167539267015707
s349493245.c,4,0,0.7508896797153025
s878747470.c,2,0,0.8022598870056498
s038473708.c,1,0,0.8321342925659473
s030392500.c,5,0,0.7791798107255521
s006536441.c,2,0,0.696969696969697
s541008740.c,1,0,0.7254901960784313
s805339058.c,1,0,0.7033898305084746
s735179283.c,2,0,0.696969696969697
s893243612.c,1,0,0.8321342925659473
s275620087.c,7,0,0.7904191616766467
s962788897.c,5,0,0.75177304964539
s854681124.c,1,0,0.7254901960784313
s513847081.c,1,0,0.8321342925659473
s630197396.c,2,0,0.6698113207547169
s912463779.c,1,0,0.8022598870056498
s869255939.c,1,2,0.7297297297297297
s989356510.c,3,0,0.7142857142857143
s759169670.c,1,0,0.7033898305084746
s305181063.c,2,0,0.6846846846846847
s124805488.c,3,0,0.6713615023474179
s937310122.c,3,0,0.7982708933717579
s393428695.c,1,1,0.7021276595744681
s503559551.c,2,0,0.696969696969697
s689976399.c,2,0,0.6551724137931034
s785553178.c,2,0,0.6551724137931034
s273711100.c,1,0,0.7058823529411765
s068907154.c,2,0,0.6902654867256637
s298406808.c,2,0,0.7254901960784313
s493266801.c,5,0,0.7397769516728625
s762233629.c,2,0,0.6551724137931034
s340065823.c,1,0,0.7058823529411765
s079151745.c,1,0,0.7719869706840391
s503147473.c,2,0,0.6698113207547169
s233495680.c,3,0,0.6860986547085202
s227757625.c,2,0,0.6818181818181818
s093097298.c,2,0,0.6551724137931034
s656367875.c,1,0,0.7058823529411765
s234706394.c,2,0,0.6534653465346535
s005765690.c,3,0,0.7265625
s110103027.c,2,0,0.6860986547085202
s274382030.c,3,0,0.6860986547085202
s731040029.c,3,0,0.6698113207547169
s602474683.c,2,0,0.6236559139784946
s248592197.c,2,0,0.6682464454976303
s830838069.c,2,0,0.6682464454976303
s043320672.c,1,0,0.6373056994818653
